-  55% jaxagent_policy                (min=0.1s, mean=0.1s, max=0.1s, n=968)
-   0% logfn                          (min=0.0s, mean=0.0s, max=0.0s, n=15488)
-   0% nvsmi_stats                    (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% jsonl                          (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logfn/logger_add               (min=0.0s, mean=0.0s, max=0.0s, n=78)
-   0% logger_write                   (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput    (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                   (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                     (min=0.0s, mean=0.0s, max=0.0s, n=5)
-   0% logger_write/JSONLOutput       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput       (min=0.0s, mean=0.0s, max=0.0s, n=1)
